Bean,Aroma,Balance,Flavor,Body,AfterTaste
Ethiopia Guji Mesina Natural,7.5,7.48,7.38,7.5,7.46
Ethiopia Anderacha Washed,7.53,7.46,7.49,7.55,7.43
Ethiopia Yirgacheffe Koke Honey,7.48,7.54,7.34,7.54,7.32
Ethiopia Yirgacheffe Koke Natural,7.55,7.53,7.34,7.49,7.35
Ethiopia Yirgacheffe Kochere Kedida Washed,8.02,7.74,7.67,7.75,7.67
Ethiopia Yirgacheffe Kochere Kedida Natural,7.52,7.35,7.32,7.25,7.22
Ethiopia Guji Shakiso Washed,7.94,7.89,7.91,7.75,7.83
Ethiopia Guji Shakisoa Natural,8.01,7.94,7.9,7.92,7.88
Ethiopia Sidamo Nansebo Washed,8.005,7.876666667,7.888333333,7.853333333,7.853333333
Ethiopia Sidamo Nansebo Natura,8.051666667,7.981666667,7.958333333,7.923333333,7.958333333
Starbucks,8,7,9,9,7
Mega,6,5.5,6.5,4.5,5.5
Twosome,7,7.333333333,8.166666667,6.333333333,7.166666667
Paik,8.833333333,6.833333333,6.833333333,5.833333333,7.166666667
Compose,8.5,5,5.5,5.166666667,5.5
TheVenti,6.333333333,5,7,6,4.833333333
Ediya,7,6.666666667,6.333333333,6.833333333,7
